CODE ISIN,Code Maroclear,Info,Société de Gestion,Nature juridique,Classification,Sensibilité,Indice Benchmark,Periodicite VL,Souscripteurs,Affectation des résultats,Commission de souscription, Commission de rachat,Frais de gestion,Dépositaire,Réseau placeur,AN,VL,YTD,1 jour,1 semaine,1 mois,3 mois,6 mois,1 an,2 ans,3 ans,5 ans,Normal
MA0000037327,3732,CAPITAL TRUST MONETAIRE,CAPITAL TRUST GESTION,FCP,Monétaire,-,Taux Repo au jour le jour,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,BMCI,Capital Trust Gestion,55948506.25,1395.54,0.002226307776277548,3.5829708561117974e-05,0.0003584126620025,0.0014998744124295,0.004260157453116732,0.008760896907663537,0.023055663482614817,0.05022576760987358,0.06356029082262553,0.10420622863653631,Taux Repo
MA0000037335,3733,CMR ACTIONS,WAFA GESTION,FCP,Actions,-,MASI ,Quotidienne,FNPP,Mixte,0.03,0.015,0.0004,ATTIJARIWAFA BANK,WAFA GESTION,1402967406.28,250978.07,0.10169609300918461,-0.0065051100183911,7.395615332528211e-05,0.0220259317557684,0.0972884071493319,0.1765165251965529,0.3180081109219117,0.5481843546557508,0.2733170300689397,0.5297263379113328,MASI
MA0000037350,3735,FCP UPLINE CAPITAL GARANTI,UPLINE CAPITAL MANAGEMENT,FCP,Contractuel,-,TMP interbancaire,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,BCP,Banque Centrale Populaire,4191664210.45,12831.49,0.0028354360733431226,6.079164753943117e-05,0.0004303768058088,0.0019693478272751,0.005849397226749114,0.012526089443885485,0.026373044478466195,0.053626913223411954,0.06836936475623104,0.09531366038122392,TMP
MA0000037368,3736,FCP UPLINE HORIZON,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,"]1,1  5,1]",MBI,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,BCP,Banque Centrale Populaire,10542362949.34,15620.68,0.005252569975275261,0.0001370166481629,0.0005880280562406,0.0024366750071073,0.012037014841051727,0.03159501950171243,0.0585741450793354,0.12522033405055205,0.07825498722993031,0.14903480129257107,MBI
MA0000037376,3737,FCP UPLINE OBLIG PLUS,UPLINE CAPITAL MANAGEMENT,FCP,OMLT,"]1,2  5,2]",50%MBI CT + 50% MBI MLT ,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,BCP,Upline Capital Management,2782408980.0,1710.44,0.005768450515397203,0.0001052471554033,0.0004503793129668,0.0031435475168321,0.01428529071663661,0.0402744158324312,0.08044394191107274,0.16485626919645605,0.11280700042288806,0.17702433955642413,MBI
MA0000037384,3738,FCP UPLINE OPPORTUNITES,UPLINE CAPITAL MANAGEMENT,FCP,Diversifié,-,80% MBI + 20% MASI,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,BCP,Banque Centrale Populaire,2100168264.95,18317.28,0.04260516963063987,-0.0015039626882065,0.0010503845762882,0.0115020219239171,0.046547423294165606,0.08644511836714824,0.15282266362977814,0.25862028685961963,0.1241091554244172,0.24149598080546542,MBI+MASI
MA0000037392,3739,FCP CAPITAL  OBLIGATIONS BANQUES,BMCE CAPITAL GESTION,FCP,OCT,[0.5  1.1[,90% MBI CT,Quotidienne,FGP,Capitalisant,0.01,0.005,0.01,BMCE,BMCE Capital Gestion,939899010.61,1453.53,0.0035834127345789352,7.568356015460083e-05,0.0005575747563191,0.0020543931612147,0.008443414552922291,0.017600235229874105,0.03986979539276007,0.08213966646813574,0.08730419951825978,0.1431076787568027,MBI
MA0000037400,3740,CFG TRADER,CFG GESTION,FCP,Actions,-,-,Quotidienne,FGP,Capitalisant,0.002,0.002,0.02,CFG BANK,CFG Gestion;CFG BANK,15565111.9840568,220.5,0.09920239282153542,-0.007963287893103,-4.534941725994697e-05,0.0151933701657459,0.11027190332326287,0.21200461716044627,0.37872819358469323,0.5958601722515743,0.32831325301204817,0.5573133695882477,
MA0000037442,3744,FCP CAPITAL IMTIYAZ TRESORERIE,BMCE CAPITAL GESTION,FCP,Monétaire,"[0,25  0,5[",MONIA ( Morrocan Overnight Index Average) capitalisé,Quotidienne,FGP,Capitalisant,0.0025,0.0025,0.005,BMCE BANK,BMCE Capital Gestion & BMCE Bank,2820238128.64,139222.89,0.0036948931792195397,7.923175511072074e-05,0.0005369815499549,0.0023031904933351,0.008006323330901774,0.016153008650405185,0.0350173091565685,0.07065647751794964,0.085676602977353,0.1337196249535941,MONIA
MA0000037459,3745,SECURITE TRESO PLUS,SOGECAPITAL GESTION,FCP,OCT,[0.5  1.1[,MBI (CT),Quotidienne,FNPP,Distribuant,0.03,0.015,0.02,SOCIETE GENERALE,SOGECAPITAL GESTION,5540420.86,1087.85,0.0030704827942311308,7.354495895259366e-05,0.0005242439849897,0.0017034990791893,0.0069421946591371585,0.01484224863331744,0.033547418625418726,0.07029712711530729,0.0783924977943422,0.1447509483141421,MBI
MA0000037483,3748,CAPITAL TRUST OBLIG COURT TERME,CAPITAL TRUST GESTION,FCP,OCT,[0.5  1.1[,MBI (CT),Quotidienne,FGP,Capitalisant,0.02,0.015,0.02,BMCI,Capital Trust Gestion + Capital Trust Securities,137530840.68,1401.55,0.003594623817605051,7.849069528477848e-05,0.0005996958685237,0.0021737420540432,0.007874298863799832,0.015571786733910128,0.034758983218528224,0.07497315539193128,0.0798764138441149,0.13417871073203097,MBI
MA0000037517,3751,FCP CFG TRESOCORP,CFG GESTION,FCP,Monétaire,[0  0.5[,CFG Bonds Monétaire,Quotidienne,FGP,Capitalisant,0.005,0.005,0.004,CFG BANK,CFG Gestion;CFG BANK,128963814.9418248,2302925.27,-7.7721188020723e-05,1.7039488489243004e-05,2.4973209925107533e-05,-6.40057959439426e-05,3.535628349265865e-05,-0.0056270167687037425,-0.003957108819681533,-0.013602072141925816,-0.021557317050295205,-0.03581987212764698,CFG
MA0000037558,3755,FCP CIMR MONETAIRE PLUS,UPLINE CAPITAL MANAGEMENT,FCP,OCT,]0.5 1.1],100% MBI CT,Quotidienne,FNPP,Capitalisant,0.03,0.03,0.02,BCP,Upline Capital Management,22626955.12,1354.91,0.002894152479644768,7.381108790172528e-05,0.0005612376767713,0.0015375176481894,0.0073605400703341175,0.015415861024926304,0.03438509165031659,0.06966297457111956,0.08128102405311807,0.12675365283702988,MBI
MA0000037566,3756,CIMR MONETAIRE,CIH CAPITAL MANAGEMENT,FCP,Monétaire,-,Taux monétaire interbancaire au jour le jour,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,BMCI,BMCI ASSET MANAGEMENT,28173718.49,126908.64,0.0025401484464174263,6.185934697495438e-05,0.0004446117782389,0.0017073646052606,0.00602128941745584,0.012704627816886789,0.029872631525217096,0.06257255499150288,0.07868996285700267,0.112801058395543,
MA0000037616,3761,FCP EMERGENCE BANCAIRES,VALORIS MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI (CT),Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,BMCE BANK,VALORIS MANAGEMENT et CAPITAL GESTION GROUP,3368189245.83,1372.15,0.0038334637979091594,8.017258972050912e-05,0.0005760704701903,0.0021984603473713,0.008577854874750141,0.01929919698106481,0.04182801087270143,0.08282039141414145,0.09615031275213905,0.15352281993728625,MBI
MA0000037624,3762,AD YIELD FUND,AD CAPITAL ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI (CT),Quotidienne,FGP,Capitalisant ,0.03,0.03,0.02,BMCE BANK,AD CAPITAL ASSET MANAGEMENT,1945658229.94,1309.56,0.004279206736299581,7.636735753662506e-05,0.0006494945404252,0.0021810501182358,0.009543779583403907,0.019446044621588394,0.04376519348025334,0.08752086499414523,0.09062744640804832,0.14708664727935236,MBI
MA0000037632,3763,AD FIXED INCOME FUND,AD CAPITAL ASSET MANAGEMENT,FCP,Monétaire,"]0  0,5]",MBI CT,Quotidienne,FGP,Capitalisant ,0.03,0.03,0.02,BMCE BANK,AD CAPITAL ASSET MANAGEMENT,581143404.6,1251.85,0.0037122560574717224,7.189876653665091e-05,0.0005674824559999,0.0023380013291376,0.008060619725568504,0.01640076320383211,0.034347423736655926,0.06891575729630942,0.08245639823950048,0.11820244390453045,MBI
MA0000037673,3767,FCP CAPITAL MONETAIRE PLUS,BMCE CAPITAL GESTION,FCP,Monétaire,"Inferieure à 0,25",MONIA ( Morrocan Overnight Index Average) capitalisé,Quotidienne,FGP,Capitalisant,0.01,0.005,0.004,BMCE BANK,BMCE CAPITAL GESTION + BMCE BANK,304956953.01,1250.01,0.0028078394878500775,6.400358420065702e-05,0.00044019016215,0.001875495924403,0.006084751901484925,0.012727861946042321,0.02748711541464943,0.05647444620052564,0.07152592643390457,0.11467705834618909,MONIA
MA0000037715,3771,FCP CAPITAL RENDEMENT,BMCE CAPITAL GESTION,FCP,OCT,"]0,5  1,1[",Taux Repo au jour le jour,Quotidienne,FGP,Capitalisant,0.03,0.015,0.01,BMCE,BMCE BANK + BMCE CAPITAL GESTION,3607355137.88,2464.56,0.003930897670383066,8.115697381868644e-05,0.0005886866603602,0.0022814615994632,0.009267259913265373,0.01860263272096041,0.04092648437697984,0.08354693057466805,0.0870932597006761,0.14541195716835223,Taux Repo
MA0000037798,3779,CDM OBLIG PLUS,WAFA GESTION,FCP,OCT,"]0,5  1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.01,CREDIT DU MAROC,CREDIT DU MAROC,3963745012.62,2677.79,0.0034249526914356967,7.469403456086185e-05,0.0006053427099174,0.0019269336685824,0.008097790895538031,0.017184858787107474,0.03836593830583402,0.08127130005007026,0.08909034708834615,0.1424262462936497,MBI
MA0000037814,3781,FCP CFG CASH SECURE,CFG GESTION,FCP,Monétaire,"Inférieur ou egale à 0,5",CFG Bonds monétaire,Quotidienne,FGP,Capitalisant,0.005,0.005,0.006,CFG BANK,CFG Gestion;CFG BANK,60769198.773009226,1214.05,0.003023818769156928,7.413753336182259e-05,0.0004862129777659,0.0020469308418003,0.006299473662397869,0.013575000626153159,0.030165464573610485,0.06234686734336717,0.07651450663261684,0.10792213836592777,CFG
MA0000037889,3788,FCP IRGAM OBLIBANQUES,IRG ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,BMCE BANK,IRG Asset Management,1324454275.35,126.95,0.0041129478762951515,7.87773751379007e-05,0.0006305667218412,0.0024478837650031,0.009462468193384206,0.019023920372451472,0.04117116378249812,0.0805174908502852,0.08727303871188762,0.13774870048395774,MBI
MA0000037954,3795,CAPITAL TRUST TRESORERIE,CAPITAL TRUST GESTION,FCP,Monétaire,"[0  0,5]",Taux Repo au jour le jour,Quotidienne,FGP,Capitalisant,0.02,0.015,0.02,ATTIJARIWAFA BANK,CAPITAL TRUST GESTION+CAPITAL TRUST SECURITIES,1096036693.65,1234.32,0.003789665435974053,6.481721545236522e-05,0.0005025532949662,0.0022247844232611,0.007822068357365585,0.016830190544447877,0.03549466866888696,0.06619215852257503,0.092144614132262,0.13278819415764967,Taux Repo
MA0000037962,3796,CAPITAL TRUST CASH PLUS,CAPITAL TRUST GESTION,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.02,0.015,0.02,ATTIJARIWAFA BANK,CAPITAL TRUST GESTION+CAPITAL TRUST SECURITIES+CAPITAL TRUST,2646699978.99,1248.3,0.004336597179200322,9.61399798105168e-05,0.0007134783270936,0.0023527144543389,0.009314510260515194,0.01891227869695448,0.04191706730769233,0.08161267123584412,0.08090088061859782,0.134993589918442,MBI
MA0000038002,3800,CFG LIQUID BONDS,CFG GESTION,FCP,OCT,"[0,5  1,1[",CFG BONDS CT,Quotidienne,FGP,Capitalisant,0.005,0.005,0.01,CFG BANK,CFG Gestion;CFG BANK,2238883148.1909266,1232865.17,0.004559708734802573,6.701100638531876e-05,0.0005409679944527,0.001829884349778,0.011851297402117959,0.022079505822494412,0.04579765441546563,0.08885091673963251,0.09786372249096459,0.14687931545417435,CFG
MA0000038051,3805,CAPITAL TRUST OBLIG PLUS,CAPITAL TRUST GESTION,FCP,OMLT,]2   6],70% MBI MT + 30% MBI MLT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,Capital Trust,21713437.87,1253.66,0.0053408179631115335,4.786215698801277e-05,0.0003431133949874,0.002992191500256,0.011113978772139215,0.03341796359799541,0.13083951975897765,0.1738719252413458,0.11141056215037373,0.1691426759551988,MBI
MA0000038077,3807,CAPITAL TRUST EQUILIBRE,CAPITAL TRUST GESTION,FCP,Diversifié,-,70% MBI Global et 30% MASI,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,Capital Trust,1389380476.01,1201.65,0.059955190177122315,-0.0015039968092,0.0010830174532429,0.0118220627983935,0.06261716953768895,0.11507553542927135,0.20273245921329203,0.3116445084812366,0.1112395501960496,0.16021859400797525,MBI+MASI
MA0000038101,3810,FCP ALIF IV,VALORIS MANAGEMENT,FCP,OMLT,"]1,1   10]",50 % MBI MT + 50% MBI MLT,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,CDG Capital,VALORIS MANAGEMENT,2649042937.36,1306.63,0.005502200880352211,0.0001990247785851,0.0006816058327079,0.0037950664136622,0.01293073374937018,0.039731041616933284,0.080261254185441,0.16354844742067917,0.11734122335194673,0.20285932595027031,MBI
MA0000038119,3811,FCP EMERGENCE TRESOR PLUS,VALORIS MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FNPP,Capitalisant,0.03,0.015,0.02,BCP,VALORIS MANAGEMENT+ CAPITAL GESTION GROUP,254058611.04,1171.97,0.0030726304798095808,6.82657928644559e-05,0.0005207621909576,0.0017094455413386,0.005879222741005336,0.013455435355972314,0.030792640022516176,0.06403435502614756,0.07061488850521157,0.12921781357793935,MBI
MA0000038127,3812,FCP EMERGENCE TRESOR,VALORIS MANAGEMENT,FCP,Monétaire,"[0   0,5]",TMP au jour le jour,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,BCP,VALORIS MANAGEMENT+ CAPITAL GESTION GROUP,143781448.16,1140.58,0.0024609326934907933,5.260758250617739e-05,0.0003245016268931,0.00157184379912,0.0062017555467336885,0.012813568352350783,0.027568064289446574,0.05741436054327152,0.07033398083762639,0.10229721763165261,TMP
MA0000038143,3814,CFG PROFIL EQUILIBRE,CFG GESTION,FCP,Diversifié,-,25% CFG 25f  et 75% MBI MT,Quotidienne,FGP,Capitalisant,0.002,0.001,0.02,CFG BANK,CFG Gestion;CFG BANK,29927194.950134784,1304.93,0.036934323969963066,-0.0015303038418277,-6.896446031472172e-05,0.006509884380134,0.040846440991609,0.06987783881282283,0.12338048053994041,0.2002777803327845,0.14916119941878395,0.23853228424179743,MBI+CFG
MA0000038150,3815,CFG PROFIL OFFENSIF,CFG GESTION,FCP,Actions,-,80% CFG 25f  et 20% MBI Global,Quotidienne,FGP,Capitalisant,0.0025,0.0025,0.02,CFG BANK,CFG Gestion;CFG BANK,8371031.093018589,1573.5,0.11716969477518156,-0.0039500170914201,0.0003242232944901,0.018268652080219,0.1207584261659876,0.1914858172676471,0.3402211130606614,0.5072705327892407,0.3089048787588902,0.46319009847590165,MBI+CFG
MA0000038168,3816,CFG PROFIL PRUDENT,CFG GESTION,FCP,OMLT,"]1,1   2]",5% CFG 25f  et 95% MBI MT,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,CFG BANK,CFG Gestion;CFG BANK,7961899.092879545,1147.58,0.010051401211096891,-0.0002613513607695,8.714065372910503e-06,0.0026648493267978,0.015341874292185658,0.034153990339557225,0.06538550805365996,0.09643147183872339,0.07006452575435443,0.11545489891135301,MBI+CFG
MA0000038176,3817,CFG PROFIL CONSERVATEUR,CFG GESTION,FCP,OMLT,"]1,1   4[",50% MBI CT et 50% MBI MT ,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,CFG BANK,CFG Gestion;CFG BANK,34213386.073575504,1138.25,0.0027397501629754036,6.15016956895538e-05,0.0005010196188734,0.0013988351837839,0.006739605352767829,0.014835816371109478,0.03436838326835867,0.06961293778249708,0.06444161819440036,0.10328684003915899,MBI
MA0000038184,3818,CFG PROFIL DYNAMIQUE,CFG GESTION,FCP,Diversifié,-,40% CFG 25 et 60% MBI Global,Quotidienne,FGP,Capitalisant,0.002,0.002,0.02,CFG BANK,CFG Gestion;CFG BANK,7283427.986018017,1320.9,0.06346663231540908,-0.0036733370041559,-0.0008774185740434,0.0098778268780868,0.0693295338633163,0.10815617711706578,0.18807339449541297,0.28941254563557917,0.14325033105704565,0.258623318214735,MBI+CFG
MA0000038200,3820,FCP EMERGENCE OBLIRENDEMENT,VALORIS MANAGEMENT,FCP,OMLT,"]1,1   5,1]",MBI Global,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,BCP,VALORIS MANAGEMENT+ CAPITAL GESTION GROUP,2539899565.81,1168.03,0.009384965044029744,-3.424452301656889e-05,0.0003682768071257,0.0027816172872363,0.014972193256864805,0.0375571840994892,0.07202973704740491,0.14257346323903433,0.052222402392663486,0.10957745943686581,MBI
MA0000038218,3821,FCP CMR EQUITIES,VALORIS MANAGEMENT,FCP,Actions,-,MASI,Quotidienne,FNPP,Capitalisant,0.0,0.0,0.02,BCP,VALORIS MANAGEMENT+ CAPITAL GESTION GROUP,1569262980.25,1770.31,0.11578847850750035,-0.0019619007887066,0.0024064867558293,0.0249120003705247,0.11392795343715585,0.2259170261829413,0.43296206957957606,0.6969020186722389,0.3879559067958729,0.6879385964912281,MASI
MA0000038234,3823,ALIF III,BMCE CAPITAL GESTION,FCP,OMLT,"]1,1   10]",50 MBI MT + 50% MBI MLT,Quotidienne,FNPP,Capitalisant,0.03,0.03,0.02,BMCE BANK,BMCE CAPITAL GESTION,2404390360.36,1257.2,0.005760000000000037,0.0002307245546618,0.0007323208201993,0.0043859999520655,0.01396091588769967,0.040056916891411234,0.07858613589567617,0.16889033517735122,0.11212349064531824,0.1985090136038209,MBI
MA0000038259,3825,CAPITAL TRUST CROISSANCE,CAPITAL TRUST GESTION,FCP,Diversifié,-,75% MBI Global et 25% (MASI),Quotidienne,FGP,Capitalisant ,0.03,0.015,0.02,BMCI,CAPITAL TRUST GESTION;CAPITAL TRUST SECURITIES;CAPITAL TRUST,1346770683.67,1271.27,0.059753749197642585,-0.0011078982933652,0.0015520365555818,0.0125365383543204,0.06321036389030595,0.11236820230126446,0.19563418166770122,0.2994950320971501,0.11517846960884931,0.1555739373886486,MBI+MASI
MA0000038267,3826,CAPITAL TRUST OBLIG PREMIUM,CAPITAL TRUST GESTION,FCP,OMLT,"]1,1   5,1]",90% MBI MT et 10%  MBI MLT,Quotidienne,FGP,Capitalisant ,0.03,0.015,0.02,BMCI,CAPITAL TRUST GESTION;CAPITAL TRUST SECURITIES;CAPITAL TRUST,3274779915.34,1174.6,0.012734624901925267,-8.512811781743119e-05,0.0001617833635611,0.003142827861852,0.017833313114157406,0.04253204104093429,0.07473557076455718,0.13344462564290605,0.051481975489888906,0.10820730061986378,MBI
MA0000038283,3828,CAPITAL TRUST OPPORTUNITÉ,CAPITAL TRUST GESTION,FCP,OMLT,"]1,1   5,1]",50% MBI MT et 50% MBI MLT,Quotidienne,FGP,Capitalisant ,0.03,0.015,0.02,BMCI,CAPITAL TRUST GESTION;CAPITAL TRUST SECURITIES;CAPITAL TRUST,1111327.54,1063.47,0.0021768630555240916,3.761413539204613e-05,0.0003198103712621,0.0006963198554665,0.007131086993579155,0.020261908188228636,0.042607425417397905,0.08771517116527394,-0.041668544034026915,0.001139080827669343,MBI
MA0000038309,3830,CFG SECURE BONDS,CFG GESTION,FCP,OMLT,]2 6],MBI Global,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,CFG BANK,CFG Gestion;CFG BANK,1830525887.6260557,1609.51,0.007915484666879646,0.0001304915180513,0.0006403561126031,0.0039546648203246,0.015207518607291472,0.04240850242547102,0.07942565120583743,0.26726085963765783,0.15906324938968613,0.23137833950485057,MBI
MA0000038317,3831,CFG SOVEREIGN BONDS,CFG GESTION,FCP,OMLT,]2 6],MBI Global,Quotidienne,FGP,Capitalisant,0.0,0.0,0.02,CFG BANK,CFG Gestion;CFG BANK,729504728.379075,1427.7,0.008006439040921904,0.0002382019952921,0.0005606559674819,0.0038460727167898,0.015347196540835887,0.0421700378851474,0.07888552191096576,0.16119429691503123,0.05925035612535622,0.12384580870140209,MBI
MA0000038333,3833,IRGAM SECURIFINANCE,IRG ASSET MANAGEMENT,FCP,Monétaire,"]0  0,5]",MONIA,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,IRG Asset Management,117343117.38,114.9,0.01879765915942547,8.703977717821495e-05,0.0006967427277478,0.0023554043444125,0.022241992882562275,0.03644235973299663,0.05519331435393521,0.14670658682634732,0.07867067217423968,0.13616137644615853,MONIA
MA0000038358,3835,IRGAM BALANCE,IRG ASSET MANAGEMENT,FCP,Diversifié,-,50% MASI + 50% MBI Global,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,IRG Asset Management,2099395056.86,117.66,0.06489275047515614,-0.0022048846675712,0.0004251339171838,0.0137859727727037,0.06759822157698941,0.12292422217980527,0.2196537783766974,0.3361344537815125,0.10884930732258974,0.1808510638297872,MBI+MASI
MA0000038382,3838,FCP CAPITAL OBLIGATIONS BANQUES PLUS,BMCE CAPITAL GESTION,FCP,OCT,"]0,5 1,1]",90% MBI CT + 10% MBI MT,Quotidienne,FGP,Capitalisant,0.01,0.01,0.01,BMCE BANK,BMCE; BMCE CAPITAL GESTION,876056244.19,1177.56,0.004041540901417106,8.492857506829025e-05,0.0006203104951437,0.0023749329656017,0.009316956518012403,0.01699657995647203,0.03822958913771812,0.08260473839534425,0.10025601255769621,0.16297627748039584,MBI
MA0000038390,3839,FCP CAPITAL DIVERSIFIES,BMCE CAPITAL GESTION,FCP,Diversifié,-,75% MBI + 25% MASI.,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,BMCE BANK,BMCE; BMCE CAPITAL GESTION,1113635.74,1113.63,0.026027750649542093,-0.0024186396495658,-0.001165992483833,0.0084396591536798,0.027333948339483497,0.049930704177548184,0.07769949871291172,0.1042220283187246,0.08183487308017369,0.11114104406130278,MBI+MASI
MA0000038416,3841,FCP ALPHA GLOBAL,RED MED ASSET MANAGEMENT,FCP,OCT,"]0,5 1,1]",100% MBI Court Terme,Quotidienne,FGP,Capitalisant,0.02,0.02,0.02,BMCE BANK,RED MED ASSET MANAGEMENT,1603422313.74,1142.37,0.003566690971703618,7.003475474697953e-05,0.000551789374113,0.0019383244456916,0.008172198639143589,0.01714881000080134,0.03942531663997664,0.08193321084234652,0.08206643744139114,0.13129462561522687,MBI
MA0000038432,3843,FCP AFRICAPITAL CASH PLUS,AFRICAPITAL MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.03,0.03,0.02,BCP,AFRICAPITAL MANAGEMENT + AFRICA CAPITAL PARTNERS + AFRICAPITAL ASSET MANAGEMENT,1317365820.68,115144.29,0.0033099979941518054,7.095948690991371e-05,0.0005131848804577,0.0018402059151265,0.010012824246421935,0.018390308087410507,0.04089891479889939,0.07919207009894569,0.08555431255596554,0.1441250760138155,MBI
MA0000038440,3844,FCP ALPHA MONETAIRE PROTECTION,RED MED ASSET MANAGEMENT,FCP,Monétaire,"]0 0,5]",100 % MBI Monétaire,Quotidienne,FGP,Capitalisant,0.02,0.02,0.02,BCP,RED MED ASSET MANAGEMENT,1705700688.41,1126.79,0.0036519431009449706,7.987929351195362e-05,0.0005238856331023,0.002294944894637,0.008141792446921694,0.016674035242847236,0.034844101575056304,0.07105243146648417,0.0870894917608922,0.11648484488174148,MBI
MA0000038507,3850,UPLINE HORIZON DYNAMIQUE,UPLINE CAPITAL MANAGEMENT,FCP,OCT,"]0,5 1,1]",75% MBI CT + 25% MBI MT,Quotidienne,FGP,Mixte,0.03,0.03,0.02,BCP,Crédit Populaire du Maroc,1161613602.83,1114.72,0.0029962479417665507,6.279998205709086e-05,0.0005116007718888,0.0017613861030231,0.0070101900701018925,0.014700929390025298,0.03289412724004374,0.06949121645607274,0.07598455598455602,0.11778272466558373,MBI
MA0000038523,3852,CAPITAL TRUST SERENITÉ,CAPITAL TRUST GESTION,FCP,OMLT,"]1,1   5,1]",50% MBI MT + 50% MBI MLT,Quotidienne,FGP,Capitalisant ,0.03,0.015,0.02,CIH,Capital Trust Gestion; Capital Trust Securities,1123685692.5,1173.9,0.00514603258868557,-0.0001107297087807,5.9633848172362026e-05,0.0023823552014756,0.01051924798567594,0.027474595408355375,0.05651105651105669,0.16778082845887557,0.1116582543395298,0.17225883762732186,MBI
MA0000038531,3853,CAPITAL TRUST SECURIPLUS,CAPITAL TRUST GESTION,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant ,0.02,0.015,0.02,CIH,Capital Trust Gestion; Capital Trust Securities,1032475.82,1114.98,0.001905001527595671,4.484586476276943e-05,0.0003409294814284,0.0010684240296645,0.004785206412717245,0.009927356388471257,0.02433646611360693,0.060340646486548216,0.07825464673229801,0.11282112701359359,MBI
MA0000038556,3855,UPLINE PATRIMOINE,UPLINE CAPITAL MANAGEMENT,FCP,Diversifié,-,60% MBI + 40% MASI,Quotidienne,FGP,Mixte,0.03,0.03,0.02,BCP,Crédit Populaire du Maroc,1160699177.92,1206.04,0.039528349049284865,-0.0012918184829414,0.0018025202056702,0.0126790602381311,0.047036966297986774,0.09937018225383422,0.17643985668706094,0.336314985434606,0.20896438684269972,0.35251185157135423,MBI+MASI
MA0000038606,3860,TWIN CASH,TWIN CAPITAL GESTION,FCP,Monétaire,"[0  0,5]",MONIA,Quotidienne,FGP,Capitalisant,0.0,0.0,0.006,CFG Bank,Twin Capital Gestion; CFG Bank,1036687448.33,1119.85,0.0035307506877793253,8.037436593548452e-05,0.0005450126871804,0.0021656837564767,0.0077753079975881,0.01629926762199476,0.03560364359365608,0.06831450812790954,0.08538890235037548,-,MONIA
MA0000038655,3865,TWIN TREASURY,TWIN CAPITAL GESTION,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.0,0.0,0.008,CIH,Twin Capital Gestion; CIH Bank,943846628.75,1132.19,0.004275437522730039,7.949827753744857e-05,0.0005832810442498,0.0021154186581696,0.009450868855820877,0.018981189811898252,0.04060624442790054,0.07982908754494564,0.0920779759435919,-,MBI
MA0000038739,3873,ALIFV,SOGECAPITAL GESTION,FCP,OMLT,"]1,1  10]",50% MBI MT + 50% MBI MLT,Quotidienne,FNPP,Capitalisant,0.03,0.02,0.02,SOCIETE GENERALE,SOGECAPITAL GESTION,1285084962.81,1184.37,0.0051770816536107255,0.000236468511684,0.0008196721311473,0.0034142704644424,0.01299201149523583,0.037955935708902204,0.07688600758312795,0.1600438798397601,0.11403013714092197,-,MBI
MA0000038754,3875,FCP EMERGENCE OBLIG COURT TERME,VALORIS MANAGEMENT,FCP,OCT,"]0,5 1,1]",MBI CT,Quotidienne,FGP,Capitalisant,0.03,0.015,0.02,ATTIJARIWAFA BANK,Valoris Management; Capital Gestion Group,1115919335.19,1117.98,0.004068435942341347,8.05088157152476e-05,0.0008235904964819,0.0023580042139239,0.009025433672087944,0.01788153030937606,0.03988466189191714,0.0807586713584161,0.08354494175114854,-,MBI
